"subject","exemplarOf","spatial","owns","holdingAgent","identifiers"
"https://collection.rcgs.jp/resource/ITEM0009064","https://collection.rcgs.jp/resource/PACKAGE0009312","A118","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0013652|S12331"
"https://collection.rcgs.jp/resource/ITEM0006053","https://collection.rcgs.jp/resource/PACKAGE0002539","C106","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0010055|S9383"
"https://collection.rcgs.jp/resource/ITEM0009669","https://collection.rcgs.jp/resource/PACKAGE0009893","C188","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0014216|S12894"
"https://collection.rcgs.jp/resource/ITEM0002046","https://collection.rcgs.jp/resource/PACKAGE0000114","A27","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0002047|S5619"
"https://collection.rcgs.jp/resource/ITEM0004926","https://collection.rcgs.jp/resource/PACKAGE0007415","C4","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0008854|S8209"
"https://collection.rcgs.jp/resource/ITEM0010097","https://collection.rcgs.jp/resource/PACKAGE0002306","C141","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0015038|S13245"
"https://collection.rcgs.jp/resource/ITEM0002586","https://collection.rcgs.jp/resource/PACKAGE0002818","C14","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0002590|S6152"
"https://collection.rcgs.jp/resource/ITEM0007160","https://collection.rcgs.jp/resource/PACKAGE0007751","D35","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0011329|S10491"
"https://collection.rcgs.jp/resource/ITEM0001685","https://collection.rcgs.jp/resource/PACKAGE0004812","C74","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0001686|S5264"
"https://collection.rcgs.jp/resource/ITEM0007022","https://collection.rcgs.jp/resource/PACKAGE0005643","D42","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0011190|S10472"
"https://collection.rcgs.jp/resource/ITEM0020853","https://collection.rcgs.jp/resource/PACKAGE0008718","D71","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0022440"
"https://collection.rcgs.jp/resource/ITEM0008670","https://collection.rcgs.jp/resource/PACKAGE0008906","A112","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0014747|S12024"
"https://collection.rcgs.jp/resource/ITEM0011110","https://collection.rcgs.jp/resource/PACKAGE0003518","C163","https://collection.rcgs.jp/resource/AGENT0002935","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0020897|E-lb-400|S14205"
"https://collection.rcgs.jp/resource/ITEM0001547","https://collection.rcgs.jp/resource/PACKAGE0004829","C74","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0001545|S5147"
"https://collection.rcgs.jp/resource/ITEM0001199","https://collection.rcgs.jp/resource/PACKAGE0001142","A34","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0001198|S4807"
"https://collection.rcgs.jp/resource/ITEM0009225","https://collection.rcgs.jp/resource/PACKAGE0004566","A26","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0013903|S12477"
"https://collection.rcgs.jp/resource/ITEM0005107","https://collection.rcgs.jp/resource/PACKAGE0001412","A90","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0009049|S8415"
"https://collection.rcgs.jp/resource/ITEM0000044","https://collection.rcgs.jp/resource/PACKAGE0000598","C81","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0000045|S3467"
"https://collection.rcgs.jp/resource/ITEM0011164","https://collection.rcgs.jp/resource/PACKAGE0015405","A140","https://collection.rcgs.jp/resource/AGENT0002935","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0020479|E-lb-73|S14257"
"https://collection.rcgs.jp/resource/ITEM0003200","https://collection.rcgs.jp/resource/PACKAGE0004072","C41","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0003205|S6761"
"https://collection.rcgs.jp/resource/ITEM0009196","https://collection.rcgs.jp/resource/PACKAGE0009442","A119","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0013744|S12448"
"https://collection.rcgs.jp/resource/ITEM0006127","https://collection.rcgs.jp/resource/PACKAGE0004216","C108","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0010132|S9439"
